dataset,seed,mode,ari,nmi,status
anisotropic,42,raw_length,0.8108879847927226,0.7964022191056607,ok
anisotropic,42,local_scale,0.9970110330910082,0.9944665068222103,ok
anisotropic,42,knn_median,1.0,1.0,ok
anisotropic,42,supported_merge,0.9970110330910082,0.9944665068222103,ok
anisotropic,42,saddle_cut,0.9970110330910082,0.9944665068222103,ok
anisotropic,42,manifold_filter,0.9970110330910082,0.9944665068222103,ok
anisotropic,43,raw_length,0.8312440862208342,0.8118136467887784,ok
anisotropic,43,local_scale,0.571101573676681,0.733680436651211,ok
anisotropic,43,knn_median,0.5699176027202749,0.7275536547958422,ok
anisotropic,43,supported_merge,0.571101573676681,0.733680436651211,ok
anisotropic,43,saddle_cut,0.571101573676681,0.733680436651211,ok
anisotropic,43,manifold_filter,0.571101573676681,0.733680436651211,ok
anisotropic,44,raw_length,0.8233735805442765,0.7977670301299219,ok
anisotropic,44,local_scale,0.5708574690614109,0.7319895961569965,ok
anisotropic,44,knn_median,0.5701224950542387,0.7316525903841408,ok
anisotropic,44,supported_merge,0.5708574690614109,0.7319895961569965,ok
anisotropic,44,saddle_cut,0.5708574690614109,0.7319895961569965,ok
anisotropic,44,manifold_filter,0.5708574690614109,0.7319895961569965,ok
anisotropic,45,raw_length,0.7981489112252095,0.7855864144148875,ok
anisotropic,45,local_scale,0.9970110330910082,0.99446650682221,ok
anisotropic,45,knn_median,0.9980040080267059,0.9960594119124464,ok
anisotropic,45,supported_merge,0.9970110330910082,0.99446650682221,ok
anisotropic,45,saddle_cut,0.9970110330910082,0.99446650682221,ok
anisotropic,45,manifold_filter,0.9970110330910082,0.99446650682221,ok
anisotropic,46,raw_length,0.7270799221142434,0.7012388829398929,ok
anisotropic,46,local_scale,0.5688867135446343,0.7217013273017251,ok
anisotropic,46,knn_median,0.5688984779948366,0.7274255534064318,ok
anisotropic,46,supported_merge,0.5688867135446343,0.7217013273017251,ok
anisotropic,46,saddle_cut,0.5688867135446343,0.7217013273017251,ok
anisotropic,46,manifold_filter,0.5688867135446343,0.7217013273017251,ok
chain_noise,42,raw_length,0.7363278061079748,0.6785604165798754,ok
chain_noise,42,local_scale,0.5860874781695504,0.642830945820026,ok
chain_noise,42,knn_median,0.3379184140685983,0.5200508053162111,ok
chain_noise,42,supported_merge,0.8122639639994379,0.7775197986559691,ok
chain_noise,42,saddle_cut,0.5860874781695504,0.642830945820026,ok
chain_noise,42,manifold_filter,0.5860874781695504,0.642830945820026,ok
chain_noise,43,raw_length,0.6595545293853442,0.5775472516038186,ok
chain_noise,43,local_scale,0.5879225162154103,0.6074618701467513,ok
chain_noise,43,knn_median,0.2924199953969009,0.4625437900563952,ok
chain_noise,43,supported_merge,0.5879225162154103,0.6074618701467513,ok
chain_noise,43,saddle_cut,0.5879225162154103,0.6074618701467513,ok
chain_noise,43,manifold_filter,0.5879225162154103,0.6074618701467513,ok
chain_noise,44,raw_length,0.7244705164417409,0.6337686117493468,ok
chain_noise,44,local_scale,0.6394212896172126,0.6591704565564012,ok
chain_noise,44,knn_median,0.5174603946069598,0.5721102784515022,ok
chain_noise,44,supported_merge,0.6394212896172126,0.6591704565564012,ok
chain_noise,44,saddle_cut,0.6394212896172126,0.6591704565564012,ok
chain_noise,44,manifold_filter,0.6394212896172126,0.6591704565564012,ok
chain_noise,45,raw_length,0.7815687409835984,0.7055435877705227,ok
chain_noise,45,local_scale,0.8502094692396298,0.8323481746806433,ok
chain_noise,45,knn_median,0.8523982658266746,0.8426598272053705,ok
chain_noise,45,supported_merge,0.8502094692396298,0.8323481746806433,ok
chain_noise,45,saddle_cut,0.8502094692396298,0.8323481746806433,ok
chain_noise,45,manifold_filter,0.8502094692396298,0.8323481746806433,ok
chain_noise,46,raw_length,0.788094000898903,0.6996890792381808,ok
chain_noise,46,local_scale,0.8142351700729965,0.7959177530173637,ok
chain_noise,46,knn_median,0.7608676275706203,0.7355539957279497,ok
chain_noise,46,supported_merge,0.8142351700729965,0.7959177530173637,ok
chain_noise,46,saddle_cut,0.8142351700729965,0.7959177530173637,ok
chain_noise,46,manifold_filter,0.8142351700729965,0.7959177530173637,ok
circles,42,raw_length,0.5459498086463608,0.5384619807343897,ok
circles,42,local_scale,1.0,1.0,ok
circles,42,knn_median,1.0,1.0,ok
circles,42,supported_merge,1.0,1.0,ok
circles,42,saddle_cut,1.0,1.0,ok
circles,42,manifold_filter,1.0,1.0,ok
circles,43,raw_length,0.576594875446736,0.5721593184569282,ok
circles,43,local_scale,1.0,1.0,ok
circles,43,knn_median,1.0,1.0,ok
circles,43,supported_merge,1.0,1.0,ok
circles,43,saddle_cut,1.0,1.0,ok
circles,43,manifold_filter,1.0,1.0,ok
circles,44,raw_length,0.5452123709107499,0.5328433906268174,ok
circles,44,local_scale,1.0,1.0,ok
circles,44,knn_median,1.0,1.0,ok
circles,44,supported_merge,1.0,1.0,ok
circles,44,saddle_cut,1.0,1.0,ok
circles,44,manifold_filter,1.0,1.0,ok
circles,45,raw_length,0.5837419899543178,0.5969146995233766,ok
