step,operation,incr_ns,full_ns,n_active,incr_ari
1,move,1917,-1,778,-2.0
2,move,667,-1,778,-2.0
3,move,667,-1,778,-2.0
4,move,708,-1,778,-2.0
5,move,667,-1,778,-2.0
6,move,750,-1,778,-2.0
7,move,709,-1,778,-2.0
8,move,708,-1,778,-2.0
9,move,1125,-1,778,-2.0
10,move,708,-1,778,-2.0
11,move,666,-1,778,-2.0
12,move,667,-1,778,-2.0
13,move,750,-1,778,-2.0
14,move,750,-1,778,-2.0
15,move,1917,-1,778,-2.0
16,move,750,-1,778,-2.0
17,move,666,-1,778,-2.0
18,move,1208,-1,778,-2.0
19,move,1292,-1,778,-2.0
20,move,1083,-1,778,-2.0
21,move,750,-1,778,-2.0
22,move,1084,-1,778,-2.0
23,move,708,-1,778,-2.0
24,move,1166,-1,778,-2.0
25,move,1209,320958,778,0.997212
26,move,1583,-1,778,-2.0
27,move,1166,-1,778,-2.0
28,move,1125,-1,778,-2.0
29,move,708,-1,778,-2.0
30,move,1166,-1,778,-2.0
31,move,667,-1,778,-2.0
32,move,1333,-1,778,-2.0
33,move,1750,-1,778,-2.0
34,move,2083,-1,778,-2.0
35,move,750,-1,778,-2.0
36,move,1167,-1,778,-2.0
37,move,833,-1,778,-2.0
38,move,750,-1,778,-2.0
39,move,708,-1,778,-2.0
40,move,750,-1,778,-2.0
41,move,750,-1,778,-2.0
42,move,750,-1,778,-2.0
43,move,1125,-1,778,-2.0
44,move,667,-1,778,-2.0
45,move,1791,-1,778,-2.0
46,move,666,-1,778,-2.0
47,move,708,-1,778,-2.0
48,move,1334,-1,778,-2.0
49,move,625,-1,778,-2.0
50,move,666,278542,778,0.99176
51,move,750,-1,778,-2.0
52,move,1250,-1,778,-2.0
53,move,708,-1,778,-2.0
54,move,792,-1,778,-2.0
55,move,1417,-1,778,-2.0
56,move,2458,-1,778,-2.0
57,move,667,-1,778,-2.0
58,move,667,-1,778,-2.0
59,move,1625,-1,778,-2.0
60,move,875,-1,778,-2.0
61,move,750,-1,778,-2.0
62,move,1041,-1,778,-2.0
63,move,667,-1,778,-2.0
64,move,1084,-1,778,-2.0
65,move,1750,-1,778,-2.0
66,move,1667,-1,778,-2.0
67,move,667,-1,778,-2.0
68,move,708,-1,778,-2.0
69,move,1083,-1,778,-2.0
70,move,1042,-1,778,-2.0
71,move,1333,-1,778,-2.0
72,move,2042,-1,778,-2.0
73,move,1125,-1,778,-2.0
74,insert,1542,-1,779,-2.0
75,move,1291,266416,779,0.991767
76,move,1875,-1,779,-2.0
77,move,1417,-1,779,-2.0
78,move,708,-1,779,-2.0
79,move,1292,-1,779,-2.0
80,move,834,-1,779,-2.0
81,move,1541,-1,779,-2.0
82,move,708,-1,779,-2.0
83,move,1084,-1,779,-2.0
84,move,666,-1,779,-2.0
85,move,1209,-1,779,-2.0
86,move,708,-1,779,-2.0
87,move,2167,-1,779,-2.0
88,move,666,-1,779,-2.0
89,move,667,-1,779,-2.0
90,move,666,-1,779,-2.0
91,insert,1208,-1,780,-2.0
92,move,1916,-1,780,-2.0
93,move,667,-1,780,-2.0
94,move,875,-1,780,-2.0
95,move,750,-1,780,-2.0
96,move,667,-1,780,-2.0
97,move,958,-1,780,-2.0
98,move,667,-1,780,-2.0
99,move,1375,-1,780,-2.0
100,move,1375,264333,780,0.992136
101,move,1208,-1,780,-2.0
102,move,750,-1,780,-2.0
103,move,833,-1,780,-2.0
104,move,875,-1,780,-2.0
105,move,709,-1,780,-2.0
106,move,1166,-1,780,-2.0
107,insert,1708,-1,781,-2.0
108,insert,917,-1,782,-2.0
109,move,1875,-1,782,-2.0
110,move,1375,-1,782,-2.0
111,move,1083,-1,782,-2.0
112,move,1250,-1,782,-2.0
113,move,709,-1,782,-2.0
114,move,750,-1,782,-2.0
115,move,1083,-1,782,-2.0
116,move,666,-1,782,-2.0
117,insert,750,-1,783,-2.0
118,move,1083,-1,783,-2.0
119,move,791,-1,783,-2.0
120,move,1250,-1,783,-2.0
121,move,708,-1,783,-2.0
122,insert,833,-1,784,-2.0
123,move,1292,-1,784,-2.0
124,move,667,-1,784,-2.0
125,move,875,259541,784,0.989802
126,insert,1000,-1,785,-2.0
127,move,1250,-1,785,-2.0
128,move,709,-1,785,-2.0
129,move,1834,-1,785,-2.0
130,move,1666,-1,785,-2.0
131,move,792,-1,785,-2.0
132,move,834,-1,785,-2.0
133,move,708,-1,785,-2.0
134,move,709,-1,785,-2.0
135,move,1250,-1,785,-2.0
136,move,666,-1,785,-2.0
137,move,667,-1,785,-2.0
138,move,1250,-1,785,-2.0
139,move,1333,-1,785,-2.0
140,move,1209,-1,785,-2.0
141,move,1083,-1,785,-2.0
142,insert,1417,-1,786,-2.0
143,move,708,-1,786,-2.0
144,move,1917,-1,786,-2.0
145,move,1333,-1,786,-2.0
146,move,1500,-1,786,-2.0
147,move,750,-1,786,-2.0
148,move,1708,-1,786,-2.0
149,move,792,-1,786,-2.0
150,move,1292,261500,786,0.989825
151,move,1125,-1,786,-2.0
152,move,1292,-1,786,-2.0
153,move,875,-1,786,-2.0
154,move,2292,-1,786,-2.0
155,move,834,-1,786,-2.0
156,move,791,-1,786,-2.0
157,insert,708,-1,787,-2.0
158,move,708,-1,787,-2.0
159,move,2000,-1,787,-2.0
160,move,875,-1,787,-2.0
161,move,1500,-1,787,-2.0
162,move,1083,-1,787,-2.0
163,move,1875,-1,787,-2.0
164,move,792,-1,787,-2.0
165,move,792,-1,787,-2.0
166,move,1417,-1,787,-2.0
167,move,666,-1,787,-2.0
168,move,667,-1,787,-2.0
169,move,833,-1,787,-2.0
170,move,1750,-1,787,-2.0
171,move,709,-1,787,-2.0
172,move,1417,-1,787,-2.0
173,move,750,-1,787,-2.0
174,move,708,-1,787,-2.0
175,move,1625,268916,787,0.989856
176,insert,1208,-1,788,-2.0
177,move,791,-1,788,-2.0
178,move,1500,-1,788,-2.0
179,move,1292,-1,788,-2.0
180,move,1708,-1,788,-2.0
181,move,1083,-1,788,-2.0
182,move,1250,-1,788,-2.0
183,move,1416,-1,788,-2.0
184,move,791,-1,788,-2.0
185,move,750,-1,788,-2.0
186,move,750,-1,788,-2.0
187,move,1167,-1,788,-2.0
188,move,1125,-1,788,-2.0
189,move,1416,-1,788,-2.0
190,move,792,-1,788,-2.0
191,move,1458,-1,788,-2.0
192,move,1209,-1,788,-2.0
193,move,1542,-1,788,-2.0
194,move,875,-1,788,-2.0
195,move,1375,-1,788,-2.0
196,move,875,-1,788,-2.0
197,move,708,-1,788,-2.0
198,move,1166,-1,788,-2.0
199,move,1500,-1,788,-2.0
200,move,666,265292,788,0.993326
201,move,708,-1,788,-2.0
202,move,708,-1,788,-2.0
203,move,917,-1,788,-2.0
204,insert,291,-1,789,-2.0
205,move,1959,-1,789,-2.0
206,move,791,-1,789,-2.0
207,move,1375,-1,789,-2.0
208,move,1250,-1,789,-2.0
209,move,708,-1,789,-2.0
210,move,1250,-1,789,-2.0
211,move,1208,-1,789,-2.0
212,move,1750,-1,789,-2.0
213,move,750,-1,789,-2.0
214,move,1583,-1,789,-2.0
215,move,833,-1,789,-2.0
216,move,1417,-1,789,-2.0
217,move,750,-1,789,-2.0
218,move,750,-1,789,-2.0
219,move,1167,-1,789,-2.0
220,move,2125,-1,789,-2.0
221,insert,875,-1,790,-2.0
222,move,1125,-1,790,-2.0
223,move,750,-1,790,-2.0
224,move,875,-1,790,-2.0
225,move,1250,261083,790,0.97113
226,move,917,-1,790,-2.0
227,move,833,-1,790,-2.0
228,move,792,-1,790,-2.0
229,move,2167,-1,790,-2.0
230,move,791,-1,790,-2.0
231,move,791,-1,790,-2.0
232,move,625,-1,790,-2.0
233,move,1333,-1,790,-2.0
234,move,625,-1,790,-2.0
235,move,709,-1,790,-2.0
236,move,708,-1,790,-2.0
237,move,875,-1,790,-2.0
238,move,709,-1,790,-2.0
239,move,708,-1,790,-2.0
240,move,1625,-1,790,-2.0
241,move,709,-1,790,-2.0
242,move,1250,-1,790,-2.0
243,insert,1167,-1,791,-2.0
244,move,1375,-1,791,-2.0
245,move,1334,-1,791,-2.0
246,move,1417,-1,791,-2.0
247,move,4916,-1,791,-2.0
248,move,1500,-1,791,-2.0
249,move,1459,-1,791,-2.0
250,move,1166,252292,791,0.966195
251,move,750,-1,791,-2.0
252,move,792,-1,791,-2.0
253,move,1334,-1,791,-2.0
254,move,916,-1,791,-2.0
255,move,750,-1,791,-2.0
256,move,792,-1,791,-2.0
257,move,1416,-1,791,-2.0
258,move,750,-1,791,-2.0
259,move,1208,-1,791,-2.0
260,move,792,-1,791,-2.0
261,move,1333,-1,791,-2.0
262,move,1459,-1,791,-2.0
263,move,750,-1,791,-2.0
264,move,1041,-1,791,-2.0
265,move,750,-1,791,-2.0
266,move,709,-1,791,-2.0
267,move,666,-1,791,-2.0
268,move,708,-1,791,-2.0
269,move,1042,-1,791,-2.0
270,move,1833,-1,791,-2.0
271,move,792,-1,791,-2.0
272,move,1458,-1,791,-2.0
273,move,708,-1,791,-2.0
274,move,1167,-1,791,-2.0
275,move,792,246125,791,0.962134
276,move,1292,-1,791,-2.0
277,move,917,-1,791,-2.0
278,move,958,-1,791,-2.0
279,move,1250,-1,791,-2.0
280,move,792,-1,791,-2.0
281,move,750,-1,791,-2.0
282,move,1708,-1,791,-2.0
283,move,750,-1,791,-2.0
284,move,750,-1,791,-2.0
285,move,750,-1,791,-2.0
286,move,708,-1,791,-2.0
287,move,750,-1,791,-2.0
288,move,834,-1,791,-2.0
289,move,791,-1,791,-2.0
290,move,1417,-1,791,-2.0
291,move,750,-1,791,-2.0
292,move,1500,-1,791,-2.0
293,move,1417,-1,791,-2.0
294,move,750,-1,791,-2.0
295,move,667,-1,791,-2.0
296,move,833,-1,791,-2.0
297,move,750,-1,791,-2.0
298,move,1583,-1,791,-2.0
299,move,708,-1,791,-2.0
300,move,1417,246166,791,0.96309
301,move,792,-1,791,-2.0
302,move,1000,-1,791,-2.0
303,move,1750,-1,791,-2.0
304,insert,833,-1,792,-2.0
305,move,833,-1,792,-2.0
306,insert,291,-1,793,-2.0
307,move,834,-1,793,-2.0
308,move,750,-1,793,-2.0
309,move,708,-1,793,-2.0
310,move,1500,-1,793,-2.0
311,move,1583,-1,793,-2.0
312,move,709,-1,793,-2.0
313,move,791,-1,793,-2.0
314,move,792,-1,793,-2.0
315,move,709,-1,793,-2.0
316,move,875,-1,793,-2.0
317,move,1709,-1,793,-2.0
318,move,750,-1,793,-2.0
319,move,1500,-1,793,-2.0
320,move,1542,-1,793,-2.0
321,move,1250,-1,793,-2.0
322,move,709,-1,793,-2.0
323,move,666,-1,793,-2.0
324,move,1042,-1,793,-2.0
325,move,917,250792,793,0.966814
326,move,1167,-1,793,-2.0
327,move,750,-1,793,-2.0
328,move,875,-1,793,-2.0
329,move,709,-1,793,-2.0
330,move,2125,-1,793,-2.0
331,move,1958,-1,793,-2.0
332,move,1708,-1,793,-2.0
333,move,1209,-1,793,-2.0
334,move,792,-1,793,-2.0
335,move,792,-1,793,-2.0
336,move,1458,-1,793,-2.0
337,move,1958,-1,793,-2.0
338,move,750,-1,793,-2.0
339,move,875,-1,793,-2.0
340,move,833,-1,793,-2.0
341,move,833,-1,793,-2.0
342,move,834,-1,793,-2.0
343,move,750,-1,793,-2.0
344,move,834,-1,793,-2.0
345,move,792,-1,793,-2.0
346,move,834,-1,793,-2.0
347,move,1000,-1,793,-2.0
348,move,750,-1,793,-2.0
349,move,708,-1,793,-2.0
350,move,792,270292,793,0.967526
351,move,833,-1,793,-2.0
352,move,833,-1,793,-2.0
353,move,833,-1,793,-2.0
354,move,875,-1,793,-2.0
355,move,750,-1,793,-2.0
356,move,708,-1,793,-2.0
357,move,750,-1,793,-2.0
358,move,1750,-1,793,-2.0
359,move,1208,-1,793,-2.0
360,move,1208,-1,793,-2.0
361,move,1417,-1,793,-2.0
362,move,1250,-1,793,-2.0
363,move,708,-1,793,-2.0
364,move,750,-1,793,-2.0
365,move,792,-1,793,-2.0
366,move,1083,-1,793,-2.0
367,move,1125,-1,793,-2.0
368,move,792,-1,793,-2.0
369,move,1375,-1,793,-2.0
370,move,791,-1,793,-2.0
371,move,1042,-1,793,-2.0
372,move,792,-1,793,-2.0
373,move,750,-1,793,-2.0
374,move,1458,-1,793,-2.0
375,move,1500,256000,793,0.962041
376,move,1792,-1,793,-2.0
377,insert,375,-1,794,-2.0
378,move,1791,-1,794,-2.0
379,move,1042,-1,794,-2.0
380,move,1042,-1,794,-2.0
381,move,833,-1,794,-2.0
382,move,1000,-1,794,-2.0
383,move,1291,-1,794,-2.0
384,move,750,-1,794,-2.0
385,move,1375,-1,794,-2.0
386,move,833,-1,794,-2.0
387,move,750,-1,794,-2.0
388,move,750,-1,794,-2.0
389,move,750,-1,794,-2.0
390,move,833,-1,794,-2.0
391,move,1292,-1,794,-2.0
392,move,875,-1,794,-2.0
393,move,750,-1,794,-2.0
394,move,750,-1,794,-2.0
395,move,708,-1,794,-2.0
396,move,792,-1,794,-2.0
397,move,750,-1,794,-2.0
398,move,792,-1,794,-2.0
399,move,750,-1,794,-2.0
400,move,1250,254500,794,0.963391
401,move,833,-1,794,-2.0
402,move,1084,-1,794,-2.0
403,move,1458,-1,794,-2.0
404,move,750,-1,794,-2.0
405,move,1291,-1,794,-2.0
406,move,792,-1,794,-2.0
407,move,750,-1,794,-2.0
408,move,833,-1,794,-2.0
409,move,2208,-1,794,-2.0
410,move,917,-1,794,-2.0
411,move,1541,-1,794,-2.0
412,move,875,-1,794,-2.0
413,move,833,-1,794,-2.0
414,move,833,-1,794,-2.0
415,move,959,-1,794,-2.0
416,move,1333,-1,794,-2.0
417,move,1542,-1,794,-2.0
418,move,1292,-1,794,-2.0
419,move,791,-1,794,-2.0
420,move,792,-1,794,-2.0
421,move,1667,-1,794,-2.0
422,move,1375,-1,794,-2.0
423,move,1166,-1,794,-2.0
424,move,959,-1,794,-2.0
425,move,1708,251375,794,0.963038
426,move,917,-1,794,-2.0
427,move,791,-1,794,-2.0
428,move,792,-1,794,-2.0
429,move,791,-1,794,-2.0
430,move,792,-1,794,-2.0
431,move,1250,-1,794,-2.0
432,move,1166,-1,794,-2.0
433,move,875,-1,794,-2.0
434,move,792,-1,794,-2.0
435,move,750,-1,794,-2.0
436,move,1625,-1,794,-2.0
437,move,791,-1,794,-2.0
438,move,1417,-1,794,-2.0
439,move,834,-1,794,-2.0
440,move,833,-1,794,-2.0
441,move,750,-1,794,-2.0
442,move,750,-1,794,-2.0
443,move,1375,-1,794,-2.0
444,move,1208,-1,794,-2.0
445,move,1333,-1,794,-2.0
446,move,875,-1,794,-2.0
447,move,1625,-1,794,-2.0
448,move,875,-1,794,-2.0
449,move,833,-1,794,-2.0
450,move,875,252208,794,0.961196
451,move,1458,-1,794,-2.0
452,move,916,-1,794,-2.0
453,move,875,-1,794,-2.0
454,move,917,-1,794,-2.0
455,move,833,-1,794,-2.0
456,move,1417,-1,794,-2.0
457,move,1583,-1,794,-2.0
458,move,1542,-1,794,-2.0
459,insert,750,-1,795,-2.0
460,move,792,-1,795,-2.0
461,move,1625,-1,795,-2.0
462,move,917,-1,795,-2.0
463,move,833,-1,795,-2.0
464,move,1333,-1,795,-2.0
465,move,792,-1,795,-2.0
466,move,916,-1,795,-2.0
467,move,833,-1,795,-2.0
468,move,750,-1,795,-2.0
469,move,1875,-1,795,-2.0
470,move,2083,-1,795,-2.0
471,move,833,-1,795,-2.0
472,move,875,-1,795,-2.0
473,move,875,-1,795,-2.0
474,move,750,-1,795,-2.0
475,move,1542,252000,795,0.947741
476,move,916,-1,795,-2.0
477,move,791,-1,795,-2.0
478,move,1250,-1,795,-2.0
479,move,792,-1,795,-2.0
480,move,1625,-1,795,-2.0
481,insert,208,-1,796,-2.0
482,move,750,-1,796,-2.0
483,move,875,-1,796,-2.0
484,move,1333,-1,796,-2.0
485,move,1667,-1,796,-2.0
486,move,833,-1,796,-2.0
487,move,875,-1,796,-2.0
488,move,958,-1,796,-2.0
489,move,1459,-1,796,-2.0
490,move,1625,-1,796,-2.0
491,move,750,-1,796,-2.0
492,move,1291,-1,796,-2.0
493,move,1375,-1,796,-2.0
494,move,1292,-1,796,-2.0
495,move,1166,-1,796,-2.0
496,move,1125,-1,796,-2.0
497,move,834,-1,796,-2.0
498,move,916,-1,796,-2.0
499,move,833,-1,796,-2.0
500,move,833,254167,796,0.965314
501,move,917,-1,796,-2.0
502,insert,2083,-1,797,-2.0
503,move,1750,-1,797,-2.0
504,move,875,-1,797,-2.0
505,move,750,-1,797,-2.0
506,move,1417,-1,797,-2.0
507,move,1541,-1,797,-2.0
508,move,1334,-1,797,-2.0
509,move,1209,-1,797,-2.0
510,insert,708,-1,798,-2.0
511,move,833,-1,798,-2.0
512,move,791,-1,798,-2.0
513,move,875,-1,798,-2.0
514,move,2375,-1,798,-2.0
515,move,1459,-1,798,-2.0
516,move,875,-1,798,-2.0
517,move,791,-1,798,-2.0
518,move,2333,-1,798,-2.0
519,move,834,-1,798,-2.0
520,move,917,-1,798,-2.0
521,move,833,-1,798,-2.0
522,move,917,-1,798,-2.0
523,move,917,-1,798,-2.0
524,move,1292,-1,798,-2.0
525,move,833,256834,798,0.966242
526,move,833,-1,798,-2.0
527,move,1542,-1,798,-2.0
528,move,875,-1,798,-2.0
529,move,834,-1,798,-2.0
530,move,1625,-1,798,-2.0
531,move,1500,-1,798,-2.0
532,move,1416,-1,798,-2.0
533,move,917,-1,798,-2.0
534,move,833,-1,798,-2.0
535,move,1417,-1,798,-2.0
536,move,1750,-1,798,-2.0
537,move,1333,-1,798,-2.0
538,move,833,-1,798,-2.0
539,move,1417,-1,798,-2.0
540,move,1208,-1,798,-2.0
541,move,792,-1,798,-2.0
542,move,834,-1,798,-2.0
543,move,917,-1,798,-2.0
544,move,792,-1,798,-2.0
545,move,875,-1,798,-2.0
546,move,833,-1,798,-2.0
547,move,834,-1,798,-2.0
548,move,2542,-1,798,-2.0
549,move,750,-1,798,-2.0
550,move,1292,258292,798,0.961501
551,move,834,-1,798,-2.0
552,move,834,-1,798,-2.0
553,move,792,-1,798,-2.0
554,move,2167,-1,798,-2.0
555,move,1584,-1,798,-2.0
556,move,958,-1,798,-2.0
557,move,875,-1,798,-2.0
558,move,875,-1,798,-2.0
559,move,1583,-1,798,-2.0
560,move,1000,-1,798,-2.0
561,move,875,-1,798,-2.0
562,move,1000,-1,798,-2.0
563,move,1458,-1,798,-2.0
564,move,750,-1,798,-2.0
565,move,833,-1,798,-2.0
566,move,1500,-1,798,-2.0
567,move,833,-1,798,-2.0
568,move,834,-1,798,-2.0
569,move,1291,-1,798,-2.0
570,move,834,-1,798,-2.0
571,move,875,-1,798,-2.0
572,move,3250,-1,798,-2.0
573,move,1709,-1,798,-2.0
574,move,1500,-1,798,-2.0
575,move,833,250625,798,0.959679
576,move,917,-1,798,-2.0
577,move,875,-1,798,-2.0
578,move,833,-1,798,-2.0
579,move,1666,-1,798,-2.0
580,move,875,-1,798,-2.0
581,move,792,-1,798,-2.0
582,move,917,-1,798,-2.0
583,move,2416,-1,798,-2.0
584,move,875,-1,798,-2.0
585,move,1750,-1,798,-2.0
586,move,791,-1,798,-2.0
587,move,2042,-1,798,-2.0
588,move,1583,-1,798,-2.0
589,move,1042,-1,798,-2.0
590,move,833,-1,798,-2.0
591,move,792,-1,798,-2.0
592,move,1917,-1,798,-2.0
593,move,791,-1,798,-2.0
594,move,1459,-1,798,-2.0
595,move,791,-1,798,-2.0
596,move,959,-1,798,-2.0
597,move,833,-1,798,-2.0
598,move,917,-1,798,-2.0
599,move,916,-1,798,-2.0
600,move,834,254125,798,0.959739
601,move,875,-1,798,-2.0
602,move,1209,-1,798,-2.0
603,move,833,-1,798,-2.0
604,move,791,-1,798,-2.0
605,move,2334,-1,798,-2.0
606,move,1500,-1,798,-2.0
607,move,750,-1,798,-2.0
608,move,833,-1,798,-2.0
609,move,1583,-1,798,-2.0
610,move,791,-1,798,-2.0
611,move,1625,-1,798,-2.0
612,move,1625,-1,798,-2.0
613,move,833,-1,798,-2.0
614,move,875,-1,798,-2.0
615,move,2208,-1,798,-2.0
616,move,791,-1,798,-2.0
617,move,792,-1,798,-2.0
618,move,792,-1,798,-2.0
619,move,916,-1,798,-2.0
620,move,1708,-1,798,-2.0
621,move,1459,-1,798,-2.0
622,move,959,-1,798,-2.0
623,move,875,-1,798,-2.0
624,move,1667,-1,798,-2.0
625,move,1500,252375,798,0.955479
626,move,1750,-1,798,-2.0
627,move,833,-1,798,-2.0
628,move,834,-1,798,-2.0
629,move,917,-1,798,-2.0
630,move,833,-1,798,-2.0
631,move,917,-1,798,-2.0
632,move,750,-1,798,-2.0
633,move,1416,-1,798,-2.0
634,move,875,-1,798,-2.0
635,move,833,-1,798,-2.0
636,move,834,-1,798,-2.0
637,move,916,-1,798,-2.0
638,move,792,-1,798,-2.0
639,move,1416,-1,798,-2.0
640,move,1625,-1,798,-2.0
641,move,875,-1,798,-2.0
642,move,833,-1,798,-2.0
643,move,1708,-1,798,-2.0
644,move,1584,-1,798,-2.0
645,move,916,-1,798,-2.0
646,move,834,-1,798,-2.0
647,move,875,-1,798,-2.0
648,move,750,-1,798,-2.0
649,move,791,-1,798,-2.0
650,move,1000,251000,798,0.956114
651,move,2333,-1,798,-2.0
652,move,834,-1,798,-2.0
653,move,1583,-1,798,-2.0
654,move,1500,-1,798,-2.0
655,move,958,-1,798,-2.0
656,move,1959,-1,798,-2.0
657,move,833,-1,798,-2.0
658,move,792,-1,798,-2.0
659,move,959,-1,798,-2.0
660,move,1625,-1,798,-2.0
661,move,1667,-1,798,-2.0
662,move,792,-1,798,-2.0
663,move,791,-1,798,-2.0
664,move,875,-1,798,-2.0
665,move,834,-1,798,-2.0
666,move,1708,-1,798,-2.0
667,move,1042,-1,798,-2.0
668,move,1458,-1,798,-2.0
669,move,916,-1,798,-2.0
670,move,833,-1,798,-2.0
671,move,875,-1,798,-2.0
672,move,1417,-1,798,-2.0
673,move,1500,-1,798,-2.0
674,move,1625,-1,798,-2.0
675,move,1334,253083,798,0.958791
676,move,875,-1,798,-2.0
677,move,916,-1,798,-2.0
678,move,792,-1,798,-2.0
679,move,875,-1,798,-2.0
680,move,1375,-1,798,-2.0
681,move,958,-1,798,-2.0
682,move,875,-1,798,-2.0
683,move,792,-1,798,-2.0
684,move,1708,-1,798,-2.0
685,move,1041,-1,798,-2.0
686,move,833,-1,798,-2.0
687,move,1458,-1,798,-2.0
688,move,958,-1,798,-2.0
689,move,875,-1,798,-2.0
690,move,1041,-1,798,-2.0
691,move,1583,-1,798,-2.0
692,move,834,-1,798,-2.0
693,move,875,-1,798,-2.0
694,move,1375,-1,798,-2.0
695,move,958,-1,798,-2.0
696,move,1459,-1,798,-2.0
697,move,875,-1,798,-2.0
698,move,875,-1,798,-2.0
699,move,1500,-1,798,-2.0
700,move,916,247958,798,0.960541
701,move,1000,-1,798,-2.0
702,move,1375,-1,798,-2.0
703,move,958,-1,798,-2.0
704,move,1459,-1,798,-2.0
705,move,958,-1,798,-2.0
706,move,833,-1,798,-2.0
707,move,875,-1,798,-2.0
708,move,2375,-1,798,-2.0
709,move,1500,-1,798,-2.0
710,move,958,-1,798,-2.0
711,move,916,-1,798,-2.0
712,move,1000,-1,798,-2.0
713,move,917,-1,798,-2.0
714,move,958,-1,798,-2.0
715,move,917,-1,798,-2.0
716,move,875,-1,798,-2.0
717,move,917,-1,798,-2.0
718,move,875,-1,798,-2.0
719,move,916,-1,798,-2.0
720,move,1500,-1,798,-2.0
721,move,834,-1,798,-2.0
722,insert,209,-1,799,-2.0
723,move,917,-1,799,-2.0
724,move,875,-1,799,-2.0
725,move,916,249000,799,0.954729
726,move,917,-1,799,-2.0
727,move,1542,-1,799,-2.0
728,move,1000,-1,799,-2.0
729,move,792,-1,799,-2.0
730,move,792,-1,799,-2.0
731,move,1625,-1,799,-2.0
732,move,1375,-1,799,-2.0
733,move,875,-1,799,-2.0
734,move,916,-1,799,-2.0
735,move,1375,-1,799,-2.0
736,move,1792,-1,799,-2.0
737,move,792,-1,799,-2.0
738,move,1250,-1,799,-2.0
739,move,1750,-1,799,-2.0
740,move,1000,-1,799,-2.0
741,move,2417,-1,799,-2.0
742,move,875,-1,799,-2.0
743,move,1750,-1,799,-2.0
744,move,833,-1,799,-2.0
745,move,875,-1,799,-2.0
746,move,1583,-1,799,-2.0
747,move,958,-1,799,-2.0
748,move,1542,-1,799,-2.0
749,move,917,-1,799,-2.0
750,move,917,247583,799,0.9597
751,move,2250,-1,799,-2.0
752,move,1625,-1,799,-2.0
753,move,875,-1,799,-2.0
754,move,959,-1,799,-2.0
755,move,834,-1,799,-2.0
756,move,833,-1,799,-2.0
757,move,875,-1,799,-2.0
758,move,875,-1,799,-2.0
759,move,916,-1,799,-2.0
760,move,958,-1,799,-2.0
761,move,917,-1,799,-2.0
762,move,875,-1,799,-2.0
763,move,833,-1,799,-2.0
764,move,917,-1,799,-2.0
765,move,917,-1,799,-2.0
766,move,1125,-1,799,-2.0
767,move,917,-1,799,-2.0
768,move,1000,-1,799,-2.0
769,move,2125,-1,799,-2.0
770,move,917,-1,799,-2.0
771,move,834,-1,799,-2.0
772,move,1625,-1,799,-2.0
773,move,917,-1,799,-2.0
774,move,1583,-1,799,-2.0
775,move,1542,254792,799,0.956405
776,move,1000,-1,799,-2.0
777,move,958,-1,799,-2.0
778,move,1333,-1,799,-2.0
779,move,917,-1,799,-2.0
780,move,958,-1,799,-2.0
781,move,1666,-1,799,-2.0
782,move,834,-1,799,-2.0
783,move,1583,-1,799,-2.0
784,move,2083,-1,799,-2.0
785,move,2375,-1,799,-2.0
786,move,917,-1,799,-2.0
787,move,916,-1,799,-2.0
788,move,917,-1,799,-2.0
789,move,875,-1,799,-2.0
790,move,792,-1,799,-2.0
791,move,875,-1,799,-2.0
792,move,875,-1,799,-2.0
793,delete,750,-1,798,-2.0
794,move,958,-1,798,-2.0
795,move,834,-1,798,-2.0
796,move,1000,-1,798,-2.0
797,move,916,-1,798,-2.0
798,move,792,-1,798,-2.0
799,move,833,-1,798,-2.0
800,move,875,246042,798,0.959785
801,move,958,-1,798,-2.0
802,move,916,-1,798,-2.0
803,move,834,-1,798,-2.0
804,move,875,-1,798,-2.0
805,move,1667,-1,798,-2.0
806,move,1416,-1,798,-2.0
807,move,875,-1,798,-2.0
