step,operation,incr_ns,full_ns,n_active,incr_ari
15,insert,625,723000,1466,1.0
30,insert,667,585084,1481,1.0
45,insert,834,551250,1496,1.0
60,insert,1125,548333,1511,1.0
75,insert,750,545792,1526,1.0
90,insert,1084,574166,1541,1.0
105,delete,1083,564584,1554,1.0
120,insert,792,568083,1569,1.0
135,insert,834,614334,1584,1.0
150,insert,1708,604125,1599,1.0
165,insert,1250,592583,1614,1.0
180,insert,1000,606042,1625,1.0
195,insert,833,613416,1640,1.0
210,delete,1041,613500,1653,1.0
225,delete,1000,624583,1666,1.0
240,insert,625,647208,1677,1.0
255,insert,875,642375,1688,1.0
270,insert,1041,644791,1703,1.0
285,insert,1916,660667,1718,1.0
300,insert,1458,681875,1729,1.0
315,insert,625,652833,1740,1.0
330,insert,1125,671917,1755,1.0
345,delete,1125,665833,1766,1.0
360,insert,1416,682458,1781,1.0
375,insert,1083,691542,1796,1.0
390,insert,833,695208,1811,1.0
405,insert,1209,729167,1826,1.0
420,insert,2208,727708,1841,1.0
435,insert,917,764875,1856,1.0
450,delete,1291,751459,1867,1.0
465,insert,292,799458,1882,1.0
480,insert,333,787875,1897,1.0
495,insert,667,784875,1912,1.0
510,insert,1666,763167,1925,1.0
525,insert,667,776666,1938,1.0
540,insert,250,768459,1951,1.0
555,insert,750,771916,1966,1.0
570,insert,1000,776000,1977,1.0
585,insert,208,814208,1992,0.999171
600,insert,1000,816083,2007,0.99918
615,insert,250,822792,2018,0.999199
630,insert,1667,825125,2031,0.99922
645,insert,1041,834209,2044,0.999225
660,insert,1167,841166,2057,0.99924
675,insert,2333,878459,2070,0.999248
690,insert,791,855250,2085,0.99923
705,delete,1167,842791,2096,0.999224
720,insert,1083,860458,2107,0.999233
735,insert,959,885541,2118,0.999246
750,insert,1542,884250,2131,0.999251
765,insert,1375,881209,2144,0.999267
780,insert,2584,908292,2157,0.999283
795,insert,709,898417,2172,1.0
810,insert,1458,904375,2183,0.999767
825,insert,208,923709,2196,0.999075
840,insert,459,921625,2209,0.999078
855,insert,292,947916,2222,0.999101
870,insert,667,962667,2235,0.999132
885,insert,833,960375,2250,0.999122
900,insert,1292,971792,2265,0.998924
915,insert,958,982500,2278,0.998929
930,insert,292,983666,2291,0.999169
945,insert,583,988084,2306,1.0
960,insert,1416,1007250,2315,0.99979
975,insert,1584,1013666,2328,0.999197
990,insert,1500,1017500,2343,0.999213
1005,insert,1666,1090208,2358,0.999228
1020,insert,1834,1030750,2373,0.999243
1035,insert,1750,1042875,2388,0.999257
1050,insert,1917,1156167,2403,0.999272
