step,operation,incr_ns,full_ns,n_active,incr_ari
1,insert,1459,-1,301,-2.0
2,insert,709,-1,302,-2.0
3,insert,917,-1,303,-2.0
4,insert,1750,-1,304,-2.0
5,insert,1292,-1,305,-2.0
6,insert,1125,-1,306,-2.0
7,insert,1209,-1,307,-2.0
8,insert,1000,-1,308,-2.0
9,insert,625,-1,309,-2.0
10,insert,1583,-1,310,-2.0
11,insert,917,-1,311,-2.0
12,insert,1166,-1,312,-2.0
13,insert,1125,-1,313,-2.0
14,insert,1083,-1,314,-2.0
15,insert,1125,-1,315,-2.0
16,insert,1084,-1,316,-2.0
17,insert,625,-1,317,-2.0
18,insert,1167,-1,318,-2.0
19,insert,1208,-1,319,-2.0
20,insert,667,-1,320,-2.0
21,insert,1292,-1,321,-2.0
22,insert,1292,-1,322,-2.0
23,insert,750,-1,323,-2.0
24,insert,750,-1,324,-2.0
25,insert,417,-1,325,-2.0
26,insert,541,-1,326,-2.0
27,insert,1000,-1,327,-2.0
28,insert,292,-1,328,-2.0
29,insert,1250,-1,329,-2.0
30,insert,917,-1,330,-2.0
31,insert,292,-1,331,-2.0
32,insert,1166,-1,332,-2.0
33,insert,750,-1,333,-2.0
34,insert,292,-1,334,-2.0
35,insert,292,-1,335,-2.0
36,insert,1208,-1,336,-2.0
37,insert,250,-1,337,-2.0
38,insert,1166,-1,338,-2.0
39,insert,917,-1,339,-2.0
40,insert,458,-1,340,-2.0
41,insert,875,-1,341,-2.0
42,insert,667,-1,342,-2.0
43,insert,542,-1,343,-2.0
44,insert,583,-1,344,-2.0
45,insert,542,-1,345,-2.0
46,insert,542,-1,346,-2.0
47,insert,291,-1,347,-2.0
48,insert,750,-1,348,-2.0
49,insert,292,-1,349,-2.0
50,insert,1291,-1,350,-2.0
51,insert,1292,-1,351,-2.0
52,insert,1166,-1,352,-2.0
53,insert,1125,-1,353,-2.0
54,insert,792,-1,354,-2.0
55,insert,1208,-1,355,-2.0
56,insert,583,-1,356,-2.0
57,insert,709,-1,357,-2.0
58,insert,1000,-1,358,-2.0
59,insert,1417,-1,359,-2.0
60,insert,750,-1,360,-2.0
61,insert,875,-1,361,-2.0
62,insert,791,-1,362,-2.0
63,insert,709,-1,363,-2.0
64,insert,1167,-1,364,-2.0
65,insert,833,-1,365,-2.0
66,insert,875,-1,366,-2.0
67,insert,375,-1,367,-2.0
68,insert,1333,-1,368,-2.0
69,insert,1125,-1,369,-2.0
70,insert,1375,-1,370,-2.0
71,insert,1084,-1,371,-2.0
72,insert,333,-1,372,-2.0
73,insert,2042,-1,373,-2.0
74,insert,375,-1,374,-2.0
75,insert,625,-1,375,-2.0
76,insert,1041,-1,376,-2.0
77,insert,1042,-1,377,-2.0
78,insert,750,-1,378,-2.0
79,insert,1000,-1,379,-2.0
80,insert,834,-1,380,-2.0
81,insert,875,-1,381,-2.0
82,insert,667,-1,382,-2.0
83,insert,667,-1,383,-2.0
84,insert,666,-1,384,-2.0
85,insert,667,-1,385,-2.0
86,insert,709,-1,386,-2.0
87,insert,875,-1,387,-2.0
88,insert,916,-1,388,-2.0
89,insert,1333,-1,389,-2.0
90,insert,750,-1,390,-2.0
91,insert,834,-1,391,-2.0
92,insert,916,-1,392,-2.0
93,insert,875,-1,393,-2.0
94,insert,959,-1,394,-2.0
95,insert,958,-1,395,-2.0
96,insert,792,-1,396,-2.0
97,insert,959,-1,397,-2.0
98,insert,833,-1,398,-2.0
99,insert,833,-1,399,-2.0
100,insert,875,-1,400,-2.0
101,insert,875,-1,401,-2.0
