run,ops,threshold,final_ari,min_ari,first_divergence_step,guarded_fallbacks
chain_noise_s42,1000,1.1679419410450236,1.0,1.0,-1,0
chain_noise_s43,1000,1.0715939924481377,1.0,0.9994073131609524,595,1
chain_noise_s44,1000,1.165388381850864,1.0,1.0,-1,0
chain_noise_s45,1000,1.1043677987874783,1.0,0.9992854951852341,164,3
chain_noise_s46,1000,1.1035854764983029,1.0,1.0,-1,0
varying_density_s42,1000,1.0725341652187965,1.0,1.0,704,1
varying_density_s43,1000,1.0320391913465747,1.0,0.9995004509474533,99,2
varying_density_s44,1000,1.0117683567418148,1.0,1.0,-1,0
varying_density_s45,1000,1.0728868350213099,1.0,1.0,632,1
varying_density_s46,1000,1.0720715419911604,1.0,1.0,-1,0
touching_s42,1000,1.0091746205996817,1.0,1.0,213,1
touching_s43,1000,1.013162117722636,1.0,0.9989994554356354,232,2
touching_s44,1000,1.0,1.0,1.0,168,3
touching_s45,1000,1.0149368895283521,1.0,0.998627179324366,63,1
touching_s46,1000,0.9991096609849408,1.0,0.9976463538119504,148,5
socal_decluster,9903,1.3615466713452682,1.0,0.999856977760578,893,7
