dataset,seed,arm,ops,exit_code,mismatches,fallback_pct,edge_refresh_fallback_pct,mean_edge_refresh_scope_vertices,mean_relabel_scope_vertices,mean_relabel_search_vertices,mean_update_ms,p95_update_ms
chain_noise,42,all_shortcuts,1000,0,0,0.0,0.0,79.936,1.729,289.236,1.077163422,1.9603122
chain_noise,42,no_component_witness,1000,0,0,0.0,0.0,79.936,1.729,534.028,1.159706252,1.9550774
chain_noise,42,no_connectivity_summary,1000,0,0,0.0,0.0,79.936,1.729,289.254,1.069007682,1.957241649999999
chain_noise,42,no_small_side_split,1000,0,0,0.0,0.0,79.936,1.729,517.611,1.1218887530000001,1.8478788499999999
chain_noise,42,all_off,1000,0,0,0.0,0.0,79.936,1.729,1394.518,1.365163672,1.8518565499999997
chain_noise,43,all_shortcuts,1000,0,0,0.1,0.0,77.677,6.855,354.511,1.072957704,1.7535235499999997
chain_noise,43,no_component_witness,1000,0,0,0.1,0.0,77.677,6.855,538.354,1.123971848,1.77129165
chain_noise,43,no_connectivity_summary,1000,0,0,0.1,0.0,77.677,6.855,354.976,1.055285917,1.7430878499999998
chain_noise,43,no_small_side_split,1000,0,0,0.0,0.0,77.677,5.019,490.021,1.062805381,1.67335275
chain_noise,43,all_off,1000,0,0,0.0,0.0,77.677,5.019,987.494,1.1895658009999999,1.6494354
varying_density,42,all_shortcuts,1000,0,0,0.1,0.0,68.646,5.74,258.983,0.9374566679999999,1.69955065
varying_density,42,no_component_witness,1000,0,0,0.1,0.0,68.646,5.74,497.94,1.017288008,1.7075437499999992
varying_density,42,no_connectivity_summary,1000,0,0,0.1,0.0,68.646,5.74,258.983,0.944422666,1.7185815500000001
varying_density,42,no_small_side_split,1000,0,0,0.1,0.0,68.646,5.74,518.57,1.0009269490000001,1.61906605
varying_density,42,all_off,1000,0,0,0.1,0.0,68.646,5.74,1326.128,1.2011181340000001,1.5783569
varying_density,43,all_shortcuts,1000,0,0,0.2,0.0,68.614,7.589,308.504,0.9499079109999999,1.6026413499999999
varying_density,43,no_component_witness,1000,0,0,0.2,0.0,68.614,7.589,520.04,0.99296073,1.59875205
varying_density,43,no_connectivity_summary,1000,0,0,0.2,0.0,68.614,7.589,308.51,0.931808113,1.6106672999999998
varying_density,43,no_small_side_split,1000,0,0,0.1,0.0,68.614,5.792,443.359,0.9647087929999999,1.5234899
varying_density,43,all_off,1000,0,0,0.1,0.0,68.614,5.792,980.159,1.090534,1.5244172999999996
touching,42,all_shortcuts,1000,0,0,0.1,0.0,66.43,20.427,372.794,0.973804821,1.5770892999999995
touching,42,no_component_witness,1000,0,0,0.1,0.0,66.43,20.427,528.883,1.021747753,1.5383288499999994
touching,42,no_connectivity_summary,1000,0,0,0.1,0.0,66.43,20.427,373.61,0.9576813540000001,1.5762582999999994
touching,42,no_small_side_split,1000,0,0,0.0,0.0,66.43,18.5,470.831,0.990607498,1.46747355
touching,42,all_off,1000,0,0,0.0,0.0,66.43,18.5,826.268,1.0831796100000002,1.4499145999999998
touching,43,all_shortcuts,1000,0,0,0.2,0.0,66.526,14.715,326.536,0.957849067,1.5235006499999995
touching,43,no_component_witness,1000,0,0,0.2,0.0,66.526,14.715,486.192,0.999592782,1.5255464499999998
touching,43,no_connectivity_summary,1000,0,0,0.2,0.0,66.526,14.715,326.772,0.937078457,1.499183349999999
touching,43,no_small_side_split,1000,0,0,0.0,0.0,66.526,10.983,427.089,0.979018764,1.47966665
touching,43,all_off,1000,0,0,0.0,0.0,66.526,10.983,812.127,1.066924676,1.4340621999999998
