dataset,seed,arm,ops,exit_code,mismatches,fallback_pct,edge_refresh_fallback_pct,mean_edge_refresh_scope_vertices,mean_relabel_scope_vertices,mean_relabel_search_vertices,mean_update_ms,p95_update_ms
chain_noise,42,all_shortcuts,1000,0,-1,0.0,0.0,79.936,1.729,289.236,0.955978376,1.7914086499999995
chain_noise,42,no_component_witness,1000,0,-1,0.0,0.0,79.936,1.729,534.028,1.001469377,1.76758365
chain_noise,42,no_connectivity_summary,1000,0,-1,0.0,0.0,79.936,1.729,289.254,0.930153771,1.7493149
chain_noise,42,no_small_side_split,1000,0,-1,0.0,0.0,79.936,1.729,517.611,0.9797743590000001,1.6417874999999997
chain_noise,42,all_off,1000,0,-1,0.0,0.0,79.936,1.729,1394.518,1.203788835,1.6387499999999997
chain_noise,43,all_shortcuts,1000,0,-1,0.1,0.0,77.677,6.855,354.511,0.9616172460000001,1.6498232
chain_noise,43,no_component_witness,1000,0,-1,0.1,0.0,77.677,6.855,538.354,1.006050458,1.63376045
chain_noise,43,no_connectivity_summary,1000,0,-1,0.1,0.0,77.677,6.855,354.976,0.928931924,1.59051075
chain_noise,43,no_small_side_split,1000,0,-1,0.0,0.0,77.677,5.019,490.021,0.978264598,1.5806722999999998
chain_noise,43,all_off,1000,0,-1,0.0,0.0,77.677,5.019,987.494,1.0757157350000002,1.5063704999999996
varying_density,42,all_shortcuts,1000,0,-1,0.1,0.0,68.646,5.74,258.983,0.8494271189999999,1.5722270999999999
varying_density,42,no_component_witness,1000,0,-1,0.1,0.0,68.646,5.74,497.94,0.921938419,1.6048228999999996
varying_density,42,no_connectivity_summary,1000,0,-1,0.1,0.0,68.646,5.74,258.983,0.84280621,1.57388095
varying_density,42,no_small_side_split,1000,0,-1,0.1,0.0,68.646,5.74,518.57,0.899294809,1.4664068499999998
varying_density,42,all_off,1000,0,-1,0.1,0.0,68.646,5.74,1326.128,1.0919632549999998,1.4451458499999998
varying_density,43,all_shortcuts,1000,0,-1,0.2,0.0,68.614,7.589,308.504,0.853985439,1.50004795
varying_density,43,no_component_witness,1000,0,-1,0.2,0.0,68.614,7.589,520.04,0.899814409,1.4527690499999997
varying_density,43,no_connectivity_summary,1000,0,-1,0.2,0.0,68.614,7.589,308.51,0.855989493,1.508617
varying_density,43,no_small_side_split,1000,0,-1,0.1,0.0,68.614,5.792,443.359,0.8730167809999999,1.3844288499999997
varying_density,43,all_off,1000,0,-1,0.1,0.0,68.614,5.792,980.159,1.0104936260000001,1.3676973
touching,42,all_shortcuts,1000,0,-1,0.1,0.0,66.43,20.427,372.794,0.965479033,1.6154860500000001
touching,42,no_component_witness,1000,0,-1,0.1,0.0,66.43,20.427,528.883,0.936711908,1.4422854499999997
touching,42,no_connectivity_summary,1000,0,-1,0.1,0.0,66.43,20.427,373.61,0.8765679350000001,1.4374565999999995
touching,42,no_small_side_split,1000,0,-1,0.0,0.0,66.43,18.5,470.831,0.8984661260000001,1.3276753000000001
touching,42,all_off,1000,0,-1,0.0,0.0,66.43,18.5,826.268,0.983227757,1.3112562499999998
touching,43,all_shortcuts,1000,0,-1,0.2,0.0,66.526,14.715,326.536,0.869199383,1.4104728999999996
touching,43,no_component_witness,1000,0,-1,0.2,0.0,66.526,14.715,486.192,0.929976192,1.42486815
touching,43,no_connectivity_summary,1000,0,-1,0.2,0.0,66.526,14.715,326.772,0.864706125,1.3941288499999998
touching,43,no_small_side_split,1000,0,-1,0.0,0.0,66.526,10.983,427.089,0.908426061,1.3715542
touching,43,all_off,1000,0,-1,0.0,0.0,66.526,10.983,812.127,0.97194378,1.3058104499999996
