stream,frac,ops,n_active,tau0,tau_refit,tau_drift_pct,ari_frozen_vs_refit
USGS-real,0.2,500,1917,1.1265058051381314,1.19249,5.857421644957945,0.734736357222234
USGS-real,0.4,1000,2353,1.1265058051381314,1.05174,6.636965810306121,0.3536680338117499
USGS-real,0.6,1500,2853,1.1265058051381314,1.35076,19.90706073941365,0.3973190302415257
USGS-real,0.8,2000,3341,1.1265058051381314,1.20015,6.5374003867506465,0.6905002151229559
USGS-real,1.0,2500,3797,1.1265058051381314,1.13187,0.47617995729820595,0.9265003280264958
synthetic-drift,0.2,400,1900,1.1406917542025836,1.14101,0.027899368628200097,1.0
synthetic-drift,0.4,800,2300,1.1406917542025836,1.14,0.060643394680037536,1.0
synthetic-drift,0.6,1200,2700,1.1406917542025836,1.16239,1.9022006354893723,1.0
synthetic-drift,0.8,1600,3100,1.1406917542025836,1.137,0.3236417015361332,1.0
synthetic-drift,1.0,2000,3500,1.1406917542025836,1.13879,0.16671937844532744,1.0
