withdrawal,x,y,n_active_before,retained_degree,was_noise,partition_unchanged,survivor_ari,split_event,dbscan_split_event
1,1.078518,54.811192,1556,3,False,True,1.0,False,False
2,-356.799753,244.565692,1620,1,False,True,1.0,False,False
3,-39.69821,51.573688,1620,3,False,True,1.0,False,False
4,64.49882,-215.899316,1655,5,False,False,0.9721102621890267,True,False
5,2.068982,54.774184,1668,4,False,True,1.0,False,False
6,18.80024,-76.612808,1675,3,False,True,1.0,False,False
7,69.298771,-181.563308,1676,3,False,False,0.9896529829797973,True,False
8,2.830875,55.662184,1678,3,False,False,0.8003873169842908,True,False
9,246.348399,-164.413808,1687,0,True,False,0.9952428499788393,False,False
10,2.267078,54.792688,1722,3,False,True,1.0,False,False
11,2.785162,55.458688,1724,3,False,True,1.0,False,False
12,-43.553412,51.166684,1733,3,False,True,1.0,False,False
13,1.779458,54.626188,1733,3,False,False,0.7684424559486801,True,False
14,18.510716,-77.408312,1767,3,False,True,1.0,False,False
15,246.180785,-164.931812,1768,0,True,False,0.9949303809478197,False,False
16,62.517894,-22.352312,1869,2,False,False,0.9956756131255197,False,False
17,20.049754,-79.998308,1869,2,False,True,1.0,False,False
18,246.698878,-164.432312,1923,0,True,False,0.9924154759020952,False,False
19,33.032479,-92.430308,1937,3,False,False,0.9915633071846693,False,False
20,19.013568,-78.555308,1951,3,False,True,1.0,False,False
21,-44.940067,49.501684,1967,2,False,True,1.0,False,False
22,4.20229,55.384684,1967,4,False,False,0.7856961567715596,True,False
23,63.858826,-216.713312,2015,4,False,True,1.0,False,False
24,2.89183,55.440184,2016,4,False,False,0.7803799375774778,True,False
25,245.952216,-164.654312,2027,0,True,False,0.9962746969970555,False,False
26,3.089927,55.181188,2043,4,False,True,1.0,False,False
27,246.287454,-164.987312,2054,0,True,False,0.9985643059835188,False,False
28,19.211664,-78.499808,2063,2,False,True,1.0,False,False
29,116.414488,21.067192,2097,4,False,True,1.0,False,False
30,64.74263,-215.843816,2099,4,False,False,0.9784876495811662,True,False
31,19.623089,-80.516312,2106,2,False,True,1.0,False,False
32,247.07982,-164.894816,2106,0,True,False,0.9986016500280592,False,False
33,2.206123,55.329184,2109,3,False,False,0.9399426638948621,True,False
34,68.826401,-181.840808,2119,4,False,False,0.7239163966465494,False,False
35,246.424595,-164.691308,2133,1,True,True,1.0,False,False
36,18.419288,-78.740312,2144,2,False,True,1.0,False,False
37,246.287454,-163.969808,2149,0,True,False,0.9998293575018928,False,False
38,-44.37626,49.557184,2175,3,False,True,1.0,False,False
39,3.120399,55.773184,2177,3,False,False,0.9399669518403028,True,False
40,-45.077209,49.760692,2186,4,False,True,1.0,False,False
41,1.733744,54.089692,2203,3,False,False,0.9398360170123695,True,False
42,246.531255,-164.247308,2212,1,True,True,1.0,False,False
43,246.226499,-164.783816,2232,0,True,False,0.9998351806511638,False,False
44,1.825171,53.664184,2272,3,False,False,0.9362586387744002,True,False
45,-44.406733,49.612684,2288,3,False,True,1.0,False,False
46,248.954087,-165.486812,2317,0,True,False,0.9991192066950508,False,False
47,-44.498161,49.076188,2317,2,False,True,1.0,False,False
48,19.028809,-76.871816,2317,3,False,True,1.0,False,False
49,-44.772444,49.686688,2322,3,False,True,1.0,False,False
50,2.267078,53.886184,3212,3,False,False,0.995224484935371,False,False
51,246.226499,-164.598812,3230,0,True,False,0.9828522156442335,False,False
52,-358.155927,260.549692,3247,4,False,False,0.9941841309566668,False,False
53,-262.84261,98.582188,3251,3,True,False,0.9933240131536529,False,False
54,245.921743,-167.577308,3272,0,True,False,0.9878859541419482,False,False
55,66.403568,-215.048312,3275,3,False,False,0.9948578995784514,False,False
56,2.983258,55.329184,3503,3,False,False,0.9830651610342115,True,False
57,-43.827695,49.483192,3519,3,False,False,0.9749033803912485,True,False
58,19.333565,-81.163808,3534,3,False,False,0.9613781105796081,True,False
59,-358.338782,260.605192,3535,4,False,False,0.992229168980469,True,False
60,2.023268,54.459688,3536,3,False,False,0.9950203597356023,False,False
61,247.003634,-164.432312,3563,0,True,False,0.9905298270745267,False,False
62,1.596602,54.108184,3610,3,False,False,0.9981802138530709,False,False
63,247.232203,-165.893816,3626,0,True,False,0.9880339797792236,False,False
64,65.260723,-213.531308,3628,3,False,False,0.9970141707637408,False,False
65,2.251837,55.199692,3645,3,False,False,0.9953772624192958,False,False
66,246.896965,-165.024308,3660,0,True,False,0.988339900525194,False,False
67,1.291847,53.886184,3685,3,False,False,0.9952811814397888,False,False
68,-358.369255,260.512684,3692,4,False,False,0.9955618325749007,True,False
69,18.906909,-76.816316,3697,3,False,False,0.9950407139217601,False,False
70,2.145168,54.737188,3708,3,False,False,0.9848840182831088,True,False
71,-44.559116,49.723684,3729,3,False,False,0.9985377351031355,False,False
72,1.779458,54.496684,3775,2,False,False,0.9969823630545712,False,False
73,3.150872,55.384684,3786,3,False,False,0.9869761969664735,True,False
74,18.92214,-77.149316,3792,3,False,False,0.9576112546975674,False,False
75,-44.300074,50.019688,3793,5,False,False,0.9956509234571664,False,False
76,-45.381965,49.797688,3793,3,False,False,0.9970940746044406,False,False
77,247.613154,-165.098312,3796,1,True,False,0.9970893921551938,False,False
