candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.87959004147525321,0,0,1080,3224,1129,35.018610421836229,22,690,63.888888888888886,37,3.425925925925926,0.47338244953432113,-0.09338304656441429,0.012361111111111111,1,0,0,1.8518518518518516,15.74074074074074,-0.081021935453303176
1,0.90347592237576446,0,0,1080,3224,1209,37.5,29,520,48.148148148148145,57,5.2777777777777777,0.60261394632461562,0.076599178122432179,0.0077499999999999999,2,-0.5,1.8518518518518516,1.2037037037037037,16.481481481481481,0.084349178122432172
2,0.92777220715063813,0,1,1080,3224,1290,40.012406947890817,29,342,31.666666666666668,70,6.4814814814814818,0.72356738901571638,0.27464108779682783,0.0069027777777777768,2,0.5,1.2037037037037037,1.3888888888888888,10.833333333333334,0.28154386557460559
3,0.95228390615660696,0,1,1080,3224,1370,42.493796526054588,25,225,20.833333333333332,85,7.8703703703703702,0.80521423261056591,0.42352505740695284,0.010166666666666666,1,0,1.3888888888888888,22.592592592592592,12.222222222222221,0.4336917240736195
4,0.97828853195197985,0,1,1080,3224,1451,45.006203473945412,15,93,8.6111111111111107,329,30.462962962962962,0.76499278596140907,0.56910417904913213,-0.016250000000000001,1,0,22.592592592592592,7.7777777777777777,5.7407407407407405,0.55285417904913214
5,1,0,1,1080,3224,1560,48.387096774193552,9,31,2.8703703703703702,413,38.24074074074074,0.80367081865099865,0.68585254370678206,-0.017111111111111112,1,0,7.7777777777777777,0,0,0.66874143259567098
6,1.0125587198708856,0,1,1080,3224,1612,50,6,31,2.8703703703703702,413,38.24074074074074,0.8037564693444107,0.74064709537839957,0.00086111111111111284,1,0,0,13.148148148148147,1.2962962962962963,0.74150820648951066
7,1.0315030652315818,0,1,1080,3224,1693,52.512406947890817,4,17,1.5740740740740742,555,51.388888888888886,0.75839909722676391,0.73003233611330676,-0.0056805555555555533,1,0,13.148148148148147,1.4814814814814816,0.64814814814814814,0.72435178055775118
8,1.0490918976330945,0,1,1080,3224,1773,54.993796526054588,3,10,0.92592592592592593,571,52.870370370370374,0.89652552027802523,0.80691501652748299,-0.0057777777777777758,1,0,1.4814814814814816,0,0,0.80113723874970522
9,1.0659102113717962,1,1,1080,3224,1854,57.506203473945412,2,10,0.92592592592592593,571,52.870370370370374,1,0.88088790119073679,0.0083472222222222229,1,0,0,47.037037037037038,0.83333333333333337,0.88923512341295896
10,1.0920446028761497,0,0,1080,3224,1934,59.987593052109183,1,1,0.092592592592592587,1079,99.907407407407405,0.00092549712414907476,-1.4169251759874761,-0.041444444444444443,7,-3,47.037037037037038,0,0,-1.4583696204319205
11,1.1150431112396553,0,0,1080,3224,2015,62.5,1,1,0.092592592592592587,1079,99.907407407407405,0.00092549712414907476,-1.4169251759874761,-0.038111111111111109,7,-2,0,0,0,-1.4550362870985873
12,1.1422693612348671,0,0,1080,3224,2095,64.981389578163771,1,1,0.092592592592592587,1079,99.907407407407405,0.00092549712414907476,-1.4169251759874761,0.021666666666666667,7,-1,0,0,0,-1.3952585093208094
13,1.1641683637735425,0,0,1080,3224,2176,67.493796526054595,1,1,0.092592592592592587,1079,99.907407407407405,0.00092549712414907476,-1.4169251759874761,0.025013888888888891,7,0,0,0.092592592592592601,0.092592592592592601,-1.3919112870985872
14,1.199785174131915,0,0,1080,3224,2257,70.006203473945405,1,0,0,1080,100,0,-1.4183122429850434,0.021524305093758488,7,1,0.092592592592592601,0,0,-1.3967879378912849
15,1.2265206396428217,0,0,1080,3224,2337,72.487593052109176,1,0,0,1080,100,0,-1.4183122429850434,0.0177651522919074,7,2,0,0,0,-1.4005470906931361
16,1.2539019730045569,0,0,1080,3224,2418,75,1,0,0,1080,100,0,-1.4183122429850434,0.013574999999999999,7,3,0,0,0,-1.4047372429850435
