candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.87371410663424565,0,0,1200,3568,1249,35.005605381165921,21,810,67.5,36,3,0.43972158758527657,-0.13887302344369953,0.012812500000000001,1,0,0,3.5000000000000004,18.75,-0.12606052344369953
1,0.89898687946026856,0,0,1200,3568,1338,37.5,25,585,48.75,78,6.5,0.59120136789760236,0.10547400667001634,0.0080625000000000002,1,0,3.5000000000000004,1,15.083333333333334,0.11353650667001634
2,0.92185951766728313,0,1,1200,3568,1427,39.994394618834079,30,404,33.666666666666664,90,7.5,0.69222101333690744,0.24475889475505569,0.0074625000000000004,1,0,1,2.166666666666667,11.083333333333334,0.25222139475505567
3,0.94721077870120562,0,1,1200,3568,1516,42.488789237668165,31,271,22.583333333333332,116,9.6666666666666661,0.75906117764874403,0.34826677672607681,0.0087375000000000005,1,0,2.166666666666667,0.16666666666666669,8.9166666666666679,0.35700427672607682
4,0.96727960670659463,0,1,1200,3568,1606,45.011210762331835,29,164,13.666666666666666,118,9.8333333333333339,0.82924244980377348,0.45991573202804015,0.0080750000000000006,1,0,0.16666666666666669,1.1666666666666667,4.5,0.46799073202804015
5,0.98775303739480158,0,1,1200,3568,1695,47.505605381165921,26,110,9.1666666666666661,132,11,0.8604772740687826,0.53061459421204293,0.0092250000000000006,1,0,1.1666666666666667,7.333333333333333,4.1666666666666661,0.53983959421204297
6,1.0034907458026074,0,1,1200,3568,1784,50,20,60,5,220,18.333333333333332,0.8499503277124012,0.60508247072995924,0.0014749999999999989,1,0,7.333333333333333,4,1.8333333333333333,0.60655747072995925
7,1.0269431137591658,0,1,1200,3568,1873,52.494394618834079,14,38,3.1666666666666665,268,22.333333333333332,0.8176069994896783,0.66556165315669202,0.0014874999999999992,1,0,4,18.75,1.9166666666666665,0.667049153156692
8,1.0494469820812025,0,1,1200,3568,1962,54.988789237668165,12,15,1.25,493,41.083333333333336,0.74529838699936302,0.62716279643256134,-0.012412499999999998,1,0,18.75,0,0.58333333333333337,0.61475029643256129
9,1.0696863614508845,0,1,1200,3568,2052,57.511210762331835,5,8,0.66666666666666663,493,41.083333333333336,0.7849868203790854,0.76505657116981618,-0.012499999999999999,1,0,0,8.9166666666666679,0,0.75255657116981622
10,1.0914183965772362,0,1,1200,3568,2141,60.005605381165921,4,8,0.66666666666666663,600,50,0.74223712808629261,0.73890370137475292,-0.00062499999999999882,1,0,8.9166666666666679,0,0.5,0.73827870137475293
11,1.1147609422525389,0,1,1200,3568,2230,62.5,3,2,0.16666666666666666,600,50,0.88688521415745836,0.82360231815841689,-0.0031749999999999999,2,-0.5,0,0,0.16666666666666669,0.82042731815841685
12,1.1488215405687283,0,1,1200,3568,2319,64.994394618834079,3,0,0,600,50,0.88851272843121376,0.82550528148756475,0.0074999999999999997,2,0.5,0,0,0,0.8330052814875647
13,1.1763669111937325,0,1,1200,3568,2408,67.488789237668158,2,0,0,600,50,1,0.90204995377424102,0.0074999999999999997,4,-1.5,0,0,0,0.90954995377424097
14,1.2048364885993925,1,1,1200,3568,2497,69.983183856502237,2,0,0,600,50,1,0.90204995377424102,0.014135416666666668,4,-0.5,0,0,0,0.91618537044090764
15,1.2398875769355151,0,1,1200,3568,2587,72.505605381165921,2,0,0,600,50,1,0.90204995377424102,0.013708517466753136,4,0.5,0,0,0,0.91575847124099419
16,1.2746819093459019,0,1,1200,3568,2676,75,2,0,0,600,50,1,0.90204995377424102,0.0060749999999999988,4,1.5,0,0,0,0.90812495377424107
