candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.89027625990047721,0,0,1200,3576,1252,35.011185682326619,27,716,59.666666666666664,41,3.4166666666666665,0.50617767512102241,-0.066913127220750573,0.0124,1,0,0,0,16,-0.054513127220750572
1,0.91654249311533609,0,0,1200,3576,1341,37.5,32,524,43.666666666666664,41,3.4166666666666665,0.6442987593058277,0.12133336529013126,0.011662500000000001,1,0,0,1,11.083333333333334,0.13299586529013127
2,0.93725112014894152,0,1,1200,3576,1431,40.016778523489933,33,391,32.583333333333336,53,4.416666666666667,0.73047351199478583,0.2456546883748825,0.011050000000000001,1,0,1,10.333333333333334,15,0.25670468837488247
3,0.95618219620773115,0,1,1200,3576,1520,42.505592841163313,29,211,17.583333333333332,177,14.75,0.78548284116757983,0.40782747317203916,-0.0011124999999999989,1,0,10.333333333333334,12.583333333333332,8.5833333333333339,0.40671497317203914
4,0.97562454080213812,0,1,1200,3576,1609,44.994407158836687,24,108,9,328,27.333333333333332,0.77122688643555304,0.48990176398496044,-0.0044999999999999988,1,0,12.583333333333332,4.25,4,0.48540176398496043
5,0.99275702844655445,0,1,1200,3576,1699,47.511185682326619,19,60,5,379,31.583333333333332,0.78870637370345242,0.56377644681223515,-0.0047999999999999987,1,0,4.25,3.916666666666667,2,0.55897644681223513
6,1.0094977520290491,0,1,1200,3576,1788,50,13,36,3,426,35.5,0.79262062783949305,0.63612838258074333,0.0051000000000000004,1,0,3.916666666666667,0.083333333333333343,1.3333333333333335,0.64122838258074333
7,1.0327664181951517,0,1,1200,3576,1877,52.488814317673381,9,20,1.6666666666666667,427,35.583333333333336,0.74630147746738462,0.68631430536260629,0.0055000000000000005,1,0,0.083333333333333343,14.249999999999998,1.3333333333333335,0.69181430536260624
8,1.0573594275892693,0,1,1200,3576,1967,55.005592841163313,5,4,0.33333333333333331,598,49.833333333333336,0.68512101154521443,0.69697176724462795,-0.0095749999999999967,2,-0.5,14.249999999999998,0.16666666666666669,0.16666666666666669,0.68739676724462795
9,1.0741889291606059,0,1,1200,3576,2056,57.494407158836687,5,2,0.16666666666666666,600,50,0.68480497543568075,0.6974457379396245,-0.0095999999999999974,2,0.5,0.16666666666666669,0,0,0.68784573793962456
10,1.0975712091926644,0,1,1200,3576,2146,60.011185682326619,4,2,0.16666666666666666,600,50,0.7619045993585073,0.74978731632002804,0.0073000000000000001,2,-0.5,0,0,0,0.75708731632002801
11,1.1236308035991973,0,1,1200,3576,2235,62.5,4,2,0.16666666666666666,600,50,0.7619045993585073,0.74978731632002804,0.0074999999999999997,2,0.5,0,0,0,0.75728731632002799
12,1.1490284365205319,0,1,1200,3576,2324,64.988814317673373,3,2,0.16666666666666666,600,50,0.89174449382414867,0.82530306604175863,0.0075249999999999996,2,-0.5,0,0,0.16666666666666669,0.83282806604175863
13,1.1728484665967518,0,1,1200,3576,2414,67.505592841163306,3,0,0,600,50,0.89173919610288932,0.82663454517265111,0.0074999999999999997,2,0.5,0,0,0,0.83413454517265107
14,1.1994322601302949,0,1,1200,3576,2503,69.994407158836694,2,0,0,600,50,1,0.90204995377424102,0.0049687500000000001,3,-1,0,0,0,0.90701870377424099
15,1.2260396597273198,1,1,1200,3576,2592,72.483221476510067,2,0,0,600,50,1,0.90204995377424102,0.01454319083318319,3,0,0,0,0,0.91659314460742425
16,1.2661571053362815,0,1,1200,3576,2682,75,2,0,0,600,50,1,0.90204995377424102,0.0035749999999999996,3,1,0,0,0,0.90562495377424101
