variant,runs,mean_ari_truth,mean_ari_default,min_ari_default,changed_thresholds
default,40,0.5747065576985373,1.0,1.0,0
coverage_0.8,40,0.5743856438898713,0.9986232114705125,0.9724622616987535,2
coverage_1.2,40,0.5747435548516592,0.9997310743440551,0.9910417762808884,2
entropy_0.8,40,0.5747065576985373,1.0,1.0,0
entropy_1.2,40,0.5746515303933386,0.9997535815831693,0.9901432633267738,1
largest_0.8,40,0.576637640028903,0.9694357165330642,0.220277873824946,2
largest_1.2,40,0.5743856438898713,0.9986232114705125,0.9724622616987535,2
giant_excess_0.8,40,0.5747065576985373,1.0,1.0,0
giant_excess_1.2,40,0.5747065576985373,1.0,1.0,0
noise_excess_0.8,40,0.5747065576985373,1.0,1.0,0
noise_excess_1.2,40,0.5747065576985373,1.0,1.0,0
log_clusters_0.8,40,0.5747065576985373,1.0,1.0,0
log_clusters_1.2,40,0.5741934263092169,0.9889287696874407,0.5571507874976236,1
fragmentation_0.8,40,0.5747065576985373,1.0,1.0,0
fragmentation_1.2,40,0.5747065576985373,1.0,1.0,0
fewer_than_two_0.8,40,0.5747065576985373,1.0,1.0,0
fewer_than_two_1.2,40,0.5747065576985373,1.0,1.0,0
