candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.8822962528480619,0,0,1440,4306,1507,34.997677659080352,36,804,55.833333333333336,54,3.75,0.53096007791734479,-0.068828190178990806,0.012447916666666666,1,0,0,0.625,16.319444444444446,-0.056380273512324136
1,0.90847216982623591,0,0,1440,4306,1615,37.505805852299119,38,569,39.513888888888886,63,4.375,0.66171510577693937,0.13674245665350659,0.011416666666666665,1,0,0.625,4.2361111111111116,14.444444444444443,0.14815912332017325
2,0.93264179199052621,0,1,1440,4306,1723,40.013934045517885,37,361,25.069444444444443,124,8.6111111111111107,0.74688280002570562,0.29327059978489756,0.0063750000000000005,1,0,4.2361111111111116,6.3888888888888884,9.7222222222222232,0.29964559978489758
3,0.95489062232303268,1,1,1440,4306,1830,42.498838829540176,27,221,15.347222222222221,216,15,0.7710776496493178,0.44664584508650085,0.0031354166666666683,1,0,6.3888888888888884,41.388888888888886,5.3472222222222223,0.44978126175316752
4,0.97581401741820195,0,1,1440,4306,1938,45.006967022758943,12,144,10,812,56.388888888888886,0.53526728873853502,0.42098381875431135,-0.038854166666666662,1,0,41.388888888888886,32.5,5.416666666666667,0.38212965208764471
5,0.99757342177745678,0,1,1440,4306,2045,47.491871806781234,7,66,4.583333333333333,1280,88.888888888888886,0.20336689714085363,0.12575141949441529,-0.039166666666666662,1,0,32.5,7.5,3.3333333333333335,0.086584752827748634
6,1.008953547641789,0,1,1440,4306,2153,50,3,18,1.25,1388,96.388888888888886,0.12767489016436323,0.096963846304034998,-0.028895833333333332,1,0,7.5,1.875,0.69444444444444442,0.068068012970701669
7,1.0300357017015982,0,1,1440,4306,2261,52.508128193218766,2,8,0.55555555555555558,1415,98.263888888888886,0.10043548456257453,0.09552718601511101,0.0010000000000000009,1,0,1.875,1.1805555555555556,0,0.096527186015111011
8,1.050806910172071,0,0,1440,4306,2368,54.993032977241057,1,8,0.55555555555555558,1432,99.444444444444443,0.0055400947991806086,-1.4094337383898867,0.017750000000000002,9,-4,1.1805555555555556,0,0,-1.3916837383898868
9,1.0691070513244567,0,0,1440,4306,2476,57.501161170459824,1,8,0.55555555555555558,1432,99.444444444444443,0.0055400947991806086,-1.4094337383898867,0.021166666666666667,9,-3,0,0.55555555555555558,0.55555555555555558,-1.3882670717232202
10,1.0898200376823119,0,0,1440,4306,2584,60.00928936367859,1,0,0,1440,100,0,-1.4177014752733037,0.024333333333333335,9,-2,0.55555555555555558,0,0,-1.3933681419399704
11,1.1165286631450921,0,0,1440,4306,2691,62.494194147700881,1,0,0,1440,100,0,-1.4177014752733037,0.026833333333333334,9,-1,0,0,0,-1.3908681419399704
12,1.1393062212814509,0,0,1440,4306,2799,65.002322340919648,1,0,0,1440,100,0,-1.4177014752733037,0.029999999999999999,9,0,0,0,0,-1.3877014752733037
13,1.1672602424713105,0,0,1440,4306,2906,67.487227124941938,1,0,0,1440,100,0,-1.4177014752733037,0.0275,9,1,0,0,0,-1.3902014752733036
14,1.1929913201242019,0,0,1440,4306,3014,69.995355318160705,1,0,0,1440,100,0,-1.4177014752733037,0.024968750000000001,9,2,0,0,0,-1.3927327252733037
15,1.2237737193022005,0,0,1440,4306,3122,72.503483511379471,1,0,0,1440,100,0,-1.4177014752733037,0.022041978343699014,9,3,0,0,0,-1.3956594969296048
16,1.2478473080680537,0,0,1440,4306,3229,74.988388295401762,1,0,0,1440,100,0,-1.4177014752733037,0.018576391786571583,9,4,0,0,0,-1.3991250834867321
