candidate_index,threshold,selected,nontrivial,active_points,edge_count,retained_edges,retained_edge_pct,num_clusters,noise_count,noise_pct,largest_cluster,largest_cluster_pct,component_entropy,base_objective,stability_adjustment,plateau_width_candidates,plateau_center_offset,largest_jump_before_pct,largest_jump_after_pct,noise_drop_after_pct,objective
0,0.87886122387270893,0,0,1900,5684,1990,35.01055594651654,44,1134,59.684210526315788,50,2.6315789473684212,0.49050376860039829,-0.1612347136853389,0.012652631578947368,1,0,0,0.10526315789473684,17.684210526315788,-0.14858208210639154
1,0.90314355993641282,0,0,1900,5684,2132,37.508796622097115,56,798,42,52,2.736842105263158,0.64462149867844276,0.02191869440098787,0.011871052631578947,1,0,0.10526315789473684,0.73684210526315785,13.315789473684211,0.033789747032566819
2,0.92565573299907655,0,1,1900,5684,2274,40.007037297677691,54,545,28.684210526315791,66,3.4736842105263159,0.74569236054887911,0.18522583692231145,0.011207894736842106,1,0,0.73684210526315785,4.9473684210526319,13.94736842105263,0.19643373165915357
3,0.950904471927429,0,1,1900,5684,2416,42.505277973258266,42,280,14.736842105263158,160,8.4210526315789469,0.81128990366646259,0.38580395341315832,0.0049789473684210524,1,0,4.9473684210526319,24.263157894736842,6.1052631578947363,0.39078290078157935
4,0.972097744989464,0,1,1900,5684,2558,45.003518648838849,22,164,8.6315789473684212,621,32.684210526315788,0.73027794790993739,0.50131544355506941,-0.018468421052631578,1,0,24.263157894736842,17.368421052631579,4.3157894736842106,0.48284702250243783
5,0.99554123869586209,0,1,1900,5684,2700,47.501759324419425,13,82,4.3157894736842106,951,50.05263157894737,0.6204223192253242,0.5207123308461743,-0.018760526315789471,1,0,17.368421052631579,17.684210526315788,2.3684210526315792,0.50195180453038479
6,1.0085883981733608,0,1,1900,5684,2842,50,8,37,1.9473684210526316,1287,67.736842105263165,0.44038972148120886,0.44989520651080722,-0.011063157894736841,1,0,17.684210526315788,4.526315789473685,1.0526315789473684,0.43883204861607039
7,1.0280628973129842,0,1,1900,5684,2984,52.498240675580575,3,17,0.89473684210526316,1373,72.263157894736835,0.56743871987933536,0.57822869096160778,-0.011165789473684209,5,-2,4.526315789473685,0.36842105263157893,0.36842105263157893,0.5670629014879236
8,1.045466107107013,0,1,1900,5684,3126,54.996481351161151,3,10,0.52631578947368418,1380,72.631578947368425,0.56516608077378716,0.57715530328574627,0.0096315789473684198,5,-1,0.36842105263157893,0.15789473684210525,0.42105263157894735,0.5867868822331147
9,1.0680923959275572,0,1,1900,5684,3268,57.494722026741734,3,2,0.10526315789473684,1383,72.78947368421052,0.56500134746933162,0.57906757737710923,0.019557894736842107,5,0,0.15789473684210525,0,0,0.59862547211395134
10,1.0913569286300902,0,1,1900,5684,3410,59.992962702322309,3,2,0.10526315789473684,1383,72.78947368421052,0.56500134746933162,0.57906757737710923,0.01481842105263158,5,1,0,0.052631578947368418,0.052631578947368418,0.59388599842974077
11,1.1146270349149119,0,1,1900,5684,3552,62.491203377902885,3,1,0.052631578947368418,1384,72.84210526315789,0.56467425414712469,0.57890582324619277,0.0099368421052631589,5,2,0.052631578947368418,0.78947368421052633,0,0.58884266535145591
12,1.145791999104423,1,1,1900,5684,3694,64.989444053483467,2,1,0.052631578947368418,1399,73.631578947368425,0.83200154963001971,0.70195559007015196,0.0090605263157894755,5,-2,0.78947368421052633,0.052631578947368418,0.052631578947368418,0.71101611638594142
13,1.165484741783813,0,1,1900,5684,3837,67.505277973258274,2,0,0,1400,73.684210526315795,0.83147438800972928,0.70170652671634681,0.014052631578947369,5,-1,0.052631578947368418,0,0,0.71575915829529413
14,1.1899210225666137,0,1,1900,5684,3979,70.003518648838849,2,0,0,1400,73.684210526315795,0.83147438800972928,0.70170652671634681,0.019905591956692482,5,0,0,0,0,0.72161211867303932
15,1.2204562797906022,0,1,1900,5684,4121,72.501759324419425,2,0,0,1400,73.684210526315795,0.83147438800972928,0.70170652671634681,0.014542081903392165,5,1,0,0,0,0.71624860861973894
16,1.2511640906900743,0,1,1900,5684,4263,75,2,0,0,1400,73.684210526315795,0.83147438800972928,0.70170652671634681,0.0085749999999999993,5,2,0,0,0,0.71028152671634681
