algorithm,datasets,runs,mean_ari,std_ari,mean_nmi,std_nmi,mean_ami,mean_fmi,std_fmi,mean_silhouette,mean_runtime_ms,std_runtime_ms,mean_tuning_runtime_ms,mean_noise_pct,ari_wins
DelauCluster,8,40,0.5747065576985373,0.347134805682912,0.640803869860647,0.3051911416930318,0.6390808012768181,0.7328835556084035,0.2386445256301021,0.2573318551007504,27.75243440119084,4.647568622873541,27.75243440119084,2.1060244420918197,0
DelauClusterAuto,8,40,0.6751775252248802,0.31968410638139255,0.6945509184757757,0.30213505738227614,0.6936415357929153,0.8113925787281253,0.18682511517109301,0.3698518699402238,165.86836356145795,37.501814909375696,165.86836356145795,3.9625832241043217,1
KMeans,8,40,0.5662263056951788,0.36383364812673363,0.5270794875714527,0.35685508794871207,0.5267125252377182,0.7734340218743463,0.17665964174402374,0.5083103925023306,20.28585945663508,9.71402074356653,20.28585945663508,0.0,1
MiniBatchKMeans,8,40,0.5606012108311816,0.3645000278101246,0.5224846823769453,0.3583696935223883,0.5221128358130819,0.7712016963393874,0.1759517018378788,0.5079823061721367,10.977895848918706,5.279129959571574,10.977895848918706,0.0,0
DBSCAN,8,40,0.6900013297287012,0.39010695983228727,0.6946349408087908,0.35248888603093637,0.6932523012161957,0.8454699730161437,0.18335698474317683,0.3697228808484987,3.3720375038683414,1.392795624196408,73.89437598467339,6.027140888620017,2
OPTICS,8,40,0.6367835434477863,0.38783532059640036,0.6831982172693489,0.3291717786994453,0.681538806715322,0.8100013412747888,0.20831711685959775,0.6010365622952225,286.8574551481288,109.24512227266406,3339.2437425092794,33.825516317133825,0
HDBSCAN,8,40,0.6426994459767986,0.38441525641628627,0.6824792374517159,0.33089591378419475,0.6812332060323382,0.7963403804004561,0.22950961154911256,0.48759595994987276,7.569992731441744,2.502757141613926,30.207151029026136,17.560970835854,2
BIRCH,8,40,0.5836097122294021,0.3511676686565253,0.5858422223026458,0.32989826215189644,0.5854888139928307,0.7958949305348983,0.15708140796375544,0.48476351577490273,6.613893888425082,8.112016248013285,28.249962863628753,0.0,3
Agglomerative,8,40,0.5577877130783995,0.3679039113142962,0.5445840912731861,0.3650830283651231,0.5442153550483385,0.7788903906614234,0.16734642334444874,0.48714121648078273,10.774893805501051,4.71337586100444,10.774893805501051,0.0,0
Spectral,8,40,0.7299529840866873,0.3401839454507693,0.7093611579579079,0.3471905624545628,0.709098698454727,0.8566964201583056,0.16823765737549862,0.44382925598031825,65.29622611124068,20.756543418646494,65.29622611124068,0.0,1
