dataset,algorithm,ari,nmi,ami,fmi,silhouette,davies_bouldin,calinski_harabasz,runtime_ms,memory_mb,num_clusters,noise_pct,threshold_mode,seed,base_points,params,selection_basis,fits_evaluated,tuning_runtime_ms,status,error,model_dir
moons,DelauCluster,1.0,1.0,1.0,1.0,0.3862587882304293,1.025231987754125,1030.8135877482387,25.572999962605536,,2,0.0,local_scale,42,1200,threshold_mode=local_scale,unsupervised_fixed_policy,1,25.572999962605536,ok,,results/static_5seed_summary/runs/moons/n_1200/seed_42/DelauCluster
moons,DelauClusterAuto,1.0,1.0,1.0,1.0,0.3862587882304293,1.025231987754125,1030.8135877482387,147.27579103782773,,2,0.0,knn_median,42,1200,"selected_mode=knn_median;modes=raw_length,local_scale,knn_median,supported_merge,saddle_cut,manifold_filter;mode_objective=0.923485",unsupervised_mode_objective,6,147.27579103782773,ok,,results/static_5seed_summary/runs/moons/n_1200/seed_42/DelauClusterAuto/knn_median
moons,KMeans,0.49425597760845874,0.394355719818011,0.39399097639392855,0.7469184923961371,0.49606809786779876,0.8078333224684257,1670.6743552902003,38.37120800744742,,2,0.0,,42,1200,k=oracle,oracle_external_ari_nmi,1,38.37120800744742,ok,,
moons,MiniBatchKMeans,0.4895743094203558,0.39019675698700806,0.3898295044291884,0.7445799761449214,0.4959149858012027,0.8079177493007532,1670.66144665575,10.16641699243337,,2,0.0,,42,1200,k=oracle,oracle_external_ari_nmi,1,10.16641699243337,ok,,
moons,DBSCAN,0.9966749954166539,0.9920068169790668,0.9919954181072391,0.9983347291850261,0.3872788814560885,1.022115581792451,1035.2578108208495,2.3269999073818326,,2,0.16666666666666669,,42,1200,"eps_q=95,min_samples=22",oracle_external_ari_nmi,24,50.569793093018234,ok,,
moons,OPTICS,0.9983347199093332,0.9955737162526257,0.9955673804617067,0.9991663191547908,0.387466551184424,1.0224705369240732,1035.585251280892,235.09308299981058,,2,0.08333333333333334,,42,1200,"xi=0.1,min_samples=22",oracle_external_ari_nmi,12,2847.1466251648962,ok,,
moons,HDBSCAN,1.0,1.0,1.0,1.0,0.3862587882304293,1.025231987754125,1030.8135877482387,7.776249898597598,,2,0.0,,42,1200,min_cluster_size=5,oracle_external_ari_nmi,4,27.501166914589703,ok,,
moons,BIRCH,0.6264380724937797,0.6089209519734585,0.608681635260369,0.8172187044298215,0.4582653550897004,0.8490905013255161,1369.965543306292,56.116500054486096,,2,0.0,,42,1200,"threshold=0.25,k=oracle",oracle_external_ari_nmi,5,73.79100017715245,ok,,
moons,Agglomerative,0.4803184435605055,0.5037780276789305,0.50346845392321,0.7523824910699943,0.4395458749795388,0.8434053429565785,1233.9610716114896,8.370624971576035,,2,0.0,,42,1200,k=oracle,oracle_external_ari_nmi,1,8.370624971576035,ok,,
moons,Spectral,1.0,1.0,1.0,1.0,0.3862587882304293,1.025231987754125,1030.8135877482387,118.00991708878428,,2,0.0,,42,1200,"k=oracle,n_neighbors=10",oracle_external_ari_nmi,1,118.00991708878428,ok,,
